LATITUDE,LONGITUDE
41.66442451,-87.64025723
41.74678558,-87.62692021
41.87613113,-87.72930487
41.69937177,-87.62687911
41.83969609,-87.62781857
41.84402377,-87.62692325
41.72323003,-87.63211253
41.74941446,-87.7304466
41.75011132,-87.64403074
41.78040754,-87.68977465
41.92723512,-87.72684967
41.87660796,-87.62764406
41.87688955,-87.69007438
41.83766871,-87.62792157
41.82831734,-87.61306155
41.82228198,-87.60684825
41.87937913,-87.63428935
41.96754381,-87.68886902
41.73614614,-87.62695987
41.95414251,-87.66889815
42.00980315,-87.6741476
41.88099546,-87.69213
41.80771246,-87.74330304
41.90062965,-87.62831264
41.88094316,-87.74009605
41.88481014,-87.75522715
41.76590865,-87.68817109
41.86525306,-87.72881253
41.7714523,-87.65671355
41.91937884,-87.71357149
41.73648247,-87.55417668
41.79314936,-87.69866833
41.80874896,-87.75174831
41.7798268,-87.61319748
41.88298425,-87.67071922
41.93941471,-87.69410322
41.85985521,-87.73354382
41.75467441,-87.6854103
41.75655146,-87.55295175
41.79021162,-87.64505342
41.92157476,-87.73646425
41.78691515,-87.64633171
41.97527996,-87.75214432
41.80433829,-87.64398897
41.92253708,-87.77445359
41.79169949,-87.6693793
41.87279076,-87.70464797
41.90712313,-87.6396809
41.76572065,-87.68938994
41.92626872,-87.64089934
41.72530099,-87.58496589
41.65371054,-87.60952871
41.67980945,-87.62587044
41.81299523,-87.69802859
41.74601319,-87.58637073
41.87490841,-87.75024931
41.73693038,-87.58439122
41.95098326,-87.71038332
41.74598005,-87.71318989
41.89473398,-87.77363824
41.75609664,-87.64448713
41.97959452,-87.75882076
41.90073798,-87.63436132
41.75188515,-87.554826
41.87436328,-87.64301304
41.74685249,-87.65394139
41.89789489,-87.72862232
41.73617608,-87.55431961
